StudyName,StudyId,DeviceId,SensorId,Time,AmbientLight
shibo-left,0,0,2,2016-03-21 13:13:22.207,86
shibo-left,0,0,2,2016-03-21 13:13:22.707,86
shibo-left,0,0,2,2016-03-21 13:13:23.200,86
shibo-left,0,0,2,2016-03-21 13:13:23.712,86
shibo-left,0,0,2,2016-03-21 13:13:24.213,86
shibo-left,0,0,2,2016-03-21 13:13:24.709,86
shibo-left,0,0,2,2016-03-21 13:13:25.203,86
shibo-left,0,0,2,2016-03-21 13:13:25.708,87
shibo-left,0,0,2,2016-03-21 13:13:26.252,86
shibo-left,0,0,2,2016-03-21 13:13:26.724,87
shibo-left,0,0,2,2016-03-21 13:13:27.232,86
shibo-left,0,0,2,2016-03-21 13:13:27.708,86
shibo-left,0,0,2,2016-03-21 13:13:28.208,86
shibo-left,0,0,2,2016-03-21 13:13:28.708,87
shibo-left,0,0,2,2016-03-21 13:13:29.207,86
shibo-left,0,0,2,2016-03-21 13:13:29.726,87
shibo-left,0,0,2,2016-03-21 13:13:30.228,87
shibo-left,0,0,2,2016-03-21 13:13:30.740,87
shibo-left,0,0,2,2016-03-21 13:13:31.208,87
shibo-left,0,0,2,2016-03-21 13:13:31.711,87
shibo-left,0,0,2,2016-03-21 13:13:32.208,87
shibo-left,0,0,2,2016-03-21 13:13:32.710,87
shibo-left,0,0,2,2016-03-21 13:13:33.211,87
shibo-left,0,0,2,2016-03-21 13:13:33.712,87
shibo-left,0,0,2,2016-03-21 13:13:34.209,87
shibo-left,0,0,2,2016-03-21 13:13:34.711,87
shibo-left,0,0,2,2016-03-21 13:13:35.225,87
shibo-left,0,0,2,2016-03-21 13:13:35.733,87
shibo-left,0,0,2,2016-03-21 13:13:36.211,87
shibo-left,0,0,2,2016-03-21 13:13:36.729,87
shibo-left,0,0,2,2016-03-21 13:13:37.218,87
shibo-left,0,0,2,2016-03-21 13:13:37.709,86
shibo-left,0,0,2,2016-03-21 13:13:38.211,87
shibo-left,0,0,2,2016-03-21 13:13:38.734,81
shibo-left,0,0,2,2016-03-21 13:13:39.207,86
shibo-left,0,0,2,2016-03-21 13:13:39.708,84
shibo-left,0,0,2,2016-03-21 13:13:40.228,88
shibo-left,0,0,2,2016-03-21 13:13:40.725,87
shibo-left,0,0,2,2016-03-21 13:13:41.214,87
shibo-left,0,0,2,2016-03-21 13:13:41.712,85
shibo-left,0,0,2,2016-03-21 13:13:42.211,85
shibo-left,0,0,2,2016-03-21 13:13:42.713,86
shibo-left,0,0,2,2016-03-21 13:13:43.208,71
shibo-left,0,0,2,2016-03-21 13:13:43.718,71
shibo-left,0,0,2,2016-03-21 13:13:44.233,70
shibo-left,0,0,2,2016-03-21 13:13:44.707,69
shibo-left,0,0,2,2016-03-21 13:13:45.207,75
shibo-left,0,0,2,2016-03-21 13:13:45.725,80
shibo-left,0,0,2,2016-03-21 13:13:46.210,73
shibo-left,0,0,2,2016-03-21 13:13:46.707,67
shibo-left,0,0,2,2016-03-21 13:13:47.207,67
shibo-left,0,0,2,2016-03-21 13:13:47.733,68
shibo-left,0,0,2,2016-03-21 13:13:48.239,68
shibo-left,0,0,2,2016-03-21 13:13:48.725,67
shibo-left,0,0,2,2016-03-21 13:13:49.220,68
shibo-left,0,0,2,2016-03-21 13:13:49.725,69
shibo-left,0,0,2,2016-03-21 13:13:50.225,69
shibo-left,0,0,2,2016-03-21 13:13:50.725,68
shibo-left,0,0,2,2016-03-21 13:13:51.231,70
shibo-left,0,0,2,2016-03-21 13:13:51.725,69
shibo-left,0,0,2,2016-03-21 13:13:52.235,69
shibo-left,0,0,2,2016-03-21 13:13:52.717,68
shibo-left,0,0,2,2016-03-21 13:13:53.225,68
shibo-left,0,0,2,2016-03-21 13:13:53.725,68
shibo-left,0,0,2,2016-03-21 13:13:54.222,68
shibo-left,0,0,2,2016-03-21 13:13:54.713,68
shibo-left,0,0,2,2016-03-21 13:13:55.225,66
shibo-left,0,0,2,2016-03-21 13:13:55.734,67
shibo-left,0,0,2,2016-03-21 13:13:56.236,67
shibo-left,0,0,2,2016-03-21 13:13:56.736,67
shibo-left,0,0,2,2016-03-21 13:13:57.210,67
shibo-left,0,0,2,2016-03-21 13:13:57.714,67
shibo-left,0,0,2,2016-03-21 13:13:58.221,67
shibo-left,0,0,2,2016-03-21 13:13:58.725,67
shibo-left,0,0,2,2016-03-21 13:13:59.225,66
shibo-left,0,0,2,2016-03-21 13:13:59.728,66
shibo-left,0,0,2,2016-03-21 13:14:00.228,67
shibo-left,0,0,2,2016-03-21 13:14:00.725,68
shibo-left,0,0,2,2016-03-21 13:14:01.230,68
shibo-left,0,0,2,2016-03-21 13:14:01.768,68
shibo-left,0,0,2,2016-03-21 13:14:02.241,68
shibo-left,0,0,2,2016-03-21 13:14:02.726,67
shibo-left,0,0,2,2016-03-21 13:14:03.225,65
shibo-left,0,0,2,2016-03-21 13:14:03.726,66
shibo-left,0,0,2,2016-03-21 13:14:04.225,67
shibo-left,0,0,2,2016-03-21 13:14:04.733,65
shibo-left,0,0,2,2016-03-21 13:14:05.233,64
shibo-left,0,0,2,2016-03-21 13:14:05.725,64
shibo-left,0,0,2,2016-03-21 13:14:06.225,63
shibo-left,0,0,2,2016-03-21 13:14:06.725,63
shibo-left,0,0,2,2016-03-21 13:14:07.225,63
shibo-left,0,0,2,2016-03-21 13:14:07.725,62
shibo-left,0,0,2,2016-03-21 13:14:08.233,61
shibo-left,0,0,2,2016-03-21 13:14:08.727,62
shibo-left,0,0,2,2016-03-21 13:14:09.225,61
shibo-left,0,0,2,2016-03-21 13:14:09.725,61
shibo-left,0,0,2,2016-03-21 13:14:10.225,61
shibo-left,0,0,2,2016-03-21 13:14:10.710,61
shibo-left,0,0,2,2016-03-21 13:14:11.234,61
shibo-left,0,0,2,2016-03-21 13:14:11.725,61
shibo-left,0,0,2,2016-03-21 13:14:12.233,61
shibo-left,0,0,2,2016-03-21 13:14:12.725,61
shibo-left,0,0,2,2016-03-21 13:14:13.210,61
shibo-left,0,0,2,2016-03-21 13:14:13.737,62
shibo-left,0,0,2,2016-03-21 13:14:14.225,62
shibo-left,0,0,2,2016-03-21 13:14:14.726,66
shibo-left,0,0,2,2016-03-21 13:14:15.225,69
shibo-left,0,0,2,2016-03-21 13:14:15.725,62
shibo-left,0,0,2,2016-03-21 13:14:16.217,61
shibo-left,0,0,2,2016-03-21 13:14:16.725,75
shibo-left,0,0,2,2016-03-21 13:14:17.234,77
shibo-left,0,0,2,2016-03-21 13:14:17.734,74
shibo-left,0,0,2,2016-03-21 13:14:18.226,76
shibo-left,0,0,2,2016-03-21 13:14:18.710,76
shibo-left,0,0,2,2016-03-21 13:14:19.225,69
shibo-left,0,0,2,2016-03-21 13:14:19.725,61
shibo-left,0,0,2,2016-03-21 13:14:20.246,61
shibo-left,0,0,2,2016-03-21 13:14:20.733,61
shibo-left,0,0,2,2016-03-21 13:14:21.228,63
shibo-left,0,0,2,2016-03-21 13:14:21.715,61
shibo-left,0,0,2,2016-03-21 13:14:22.224,61
shibo-left,0,0,2,2016-03-21 13:14:22.725,62
shibo-left,0,0,2,2016-03-21 13:14:23.225,62
shibo-left,0,0,2,2016-03-21 13:14:23.725,62
shibo-left,0,0,2,2016-03-21 13:14:24.244,61
shibo-left,0,0,2,2016-03-21 13:14:24.733,61
shibo-left,0,0,2,2016-03-21 13:14:25.242,62
shibo-left,0,0,2,2016-03-21 13:14:25.733,61
shibo-left,0,0,2,2016-03-21 13:14:26.233,63
shibo-left,0,0,2,2016-03-21 13:14:26.725,64
shibo-left,0,0,2,2016-03-21 13:14:27.241,61
shibo-left,0,0,2,2016-03-21 13:14:27.725,69
shibo-left,0,0,2,2016-03-21 13:14:28.225,75
shibo-left,0,0,2,2016-03-21 13:14:28.733,72
shibo-left,0,0,2,2016-03-21 13:14:29.226,64
shibo-left,0,0,2,2016-03-21 13:14:29.733,67
shibo-left,0,0,2,2016-03-21 13:14:30.233,67
shibo-left,0,0,2,2016-03-21 13:14:30.726,64
shibo-left,0,0,2,2016-03-21 13:14:31.293,66
shibo-left,0,0,2,2016-03-21 13:14:31.815,75
