StudyName,StudyId,DeviceId,SensorId,Time,Gx,Gy,Gz
will-right,0,0,3,2016-03-18 15:31:56.244,-0.83984375,-0.16845703,0.5148926
will-right,0,0,3,2016-03-18 15:31:56.280,-0.8479004,-0.1796875,0.51831055
will-right,0,0,3,2016-03-18 15:31:56.304,-0.8383789,-0.17333984,0.5239258
will-right,0,0,3,2016-03-18 15:31:56.323,-0.84350586,-0.17138672,0.5241699
will-right,0,0,3,2016-03-18 15:31:56.368,-0.85131836,-0.1821289,0.52441406
will-right,0,0,3,2016-03-18 15:31:56.393,-0.85253906,-0.18115234,0.5197754
will-right,0,0,3,2016-03-18 15:31:56.436,-0.85546875,-0.17285156,0.51708984
will-right,0,0,3,2016-03-18 15:31:56.443,-0.8405762,-0.1706543,0.52319336
will-right,0,0,3,2016-03-18 15:31:56.488,-0.842041,-0.17871094,0.52124023
will-right,0,0,3,2016-03-18 15:31:56.513,-0.8457031,-0.16601563,0.517334
will-right,0,0,3,2016-03-18 15:31:56.538,-0.84643555,-0.16455078,0.5197754
will-right,0,0,3,2016-03-18 15:31:56.585,-0.8444824,-0.17651367,0.5192871
will-right,0,0,3,2016-03-18 15:31:56.611,-0.8623047,-0.17504883,0.5197754
will-right,0,0,3,2016-03-18 15:31:56.635,-0.8449707,-0.17236328,0.5227051
will-right,0,0,3,2016-03-18 15:31:56.686,-0.84106445,-0.16992188,0.5124512
will-right,0,0,3,2016-03-18 15:31:56.710,-0.8425293,-0.16552734,0.51049805
will-right,0,0,3,2016-03-18 15:31:56.735,-0.8286133,-0.18530273,0.5373535
will-right,0,0,3,2016-03-18 15:31:56.785,-0.8222656,-0.15527344,0.53881836
will-right,0,0,3,2016-03-18 15:31:56.813,-0.86206055,-0.1484375,0.50146484
will-right,0,0,3,2016-03-18 15:31:56.837,-0.87402344,-0.16992188,0.49487305
will-right,0,0,3,2016-03-18 15:31:56.888,-0.8630371,-0.18310547,0.5012207
will-right,0,0,3,2016-03-18 15:31:56.911,-0.8210449,-0.17675781,0.5078125
will-right,0,0,3,2016-03-18 15:31:56.936,-0.8083496,-0.16772461,0.5053711
will-right,0,0,3,2016-03-18 15:31:56.986,-0.8679199,-0.1772461,0.4958496
will-right,0,0,3,2016-03-18 15:31:57.004,-0.8027344,-0.16137695,0.5065918
will-right,0,0,3,2016-03-18 15:31:57.035,-0.77783203,-0.19116211,0.49365234
will-right,0,0,3,2016-03-18 15:31:57.088,-0.89868164,-0.19677734,0.46606445
will-right,0,0,3,2016-03-18 15:31:57.112,-0.8918457,-0.22827148,0.46411133
will-right,0,0,3,2016-03-18 15:31:57.131,-0.9499512,-0.21875,0.4572754
will-right,0,0,3,2016-03-18 15:31:57.186,-0.8376465,-0.21313477,0.5168457
will-right,0,0,3,2016-03-18 15:31:57.194,-0.8847656,-0.21557617,0.5336914
will-right,0,0,3,2016-03-18 15:31:57.236,-0.84350586,-0.17480469,0.57006836
will-right,0,0,3,2016-03-18 15:31:57.260,-0.8190918,-0.2175293,0.57836914
will-right,0,0,3,2016-03-18 15:31:57.289,-0.782959,-0.18774414,0.58569336
will-right,0,0,3,2016-03-18 15:31:57.335,-0.8449707,-0.21313477,0.58984375
will-right,0,0,3,2016-03-18 15:31:57.360,-0.7883301,-0.22753906,0.5917969
will-right,0,0,3,2016-03-18 15:31:57.385,-0.8027344,-0.2199707,0.59399414
will-right,0,0,3,2016-03-18 15:31:57.437,-0.75634766,-0.21606445,0.61376953
will-right,0,0,3,2016-03-18 15:31:57.461,-0.73339844,-0.1496582,0.6567383
will-right,0,0,3,2016-03-18 15:31:57.485,-0.75341797,-0.18188477,0.66552734
will-right,0,0,3,2016-03-18 15:31:57.535,-0.763916,-0.22973633,0.70043945
will-right,0,0,3,2016-03-18 15:31:57.560,-0.66674805,-0.18457031,0.7175293
will-right,0,0,3,2016-03-18 15:31:57.589,-0.6743164,-0.12231445,0.71728516
will-right,0,0,3,2016-03-18 15:31:57.611,-0.66381836,-0.16821289,0.71972656
will-right,0,0,3,2016-03-18 15:31:57.661,-0.66967773,-0.16503906,0.71606445
will-right,0,0,3,2016-03-18 15:31:57.685,-0.67456055,-0.17504883,0.71118164
will-right,0,0,3,2016-03-18 15:31:57.711,-0.6750488,-0.19384766,0.7224121
will-right,0,0,3,2016-03-18 15:31:57.763,-0.6750488,-0.15136719,0.7248535
will-right,0,0,3,2016-03-18 15:31:57.771,-0.7492676,-0.1809082,0.7409668
will-right,0,0,3,2016-03-18 15:31:57.815,-0.3803711,-0.1418457,0.72509766
will-right,0,0,3,2016-03-18 15:31:57.872,-0.65722656,-0.087890625,0.7687988
will-right,0,0,3,2016-03-18 15:31:57.879,-0.5437012,-0.076660156,0.84716797
will-right,0,0,3,2016-03-18 15:31:57.911,-0.5637207,-0.1159668,0.85595703
will-right,0,0,3,2016-03-18 15:31:57.939,-0.55078125,-0.08276367,0.8520508
will-right,0,0,3,2016-03-18 15:31:57.989,-0.5136719,-0.064208984,0.8547363
will-right,0,0,3,2016-03-18 15:31:58.011,-0.5102539,-0.14746094,0.8378906
will-right,0,0,3,2016-03-18 15:31:58.038,-0.6850586,-0.19506836,0.7697754
will-right,0,0,3,2016-03-18 15:31:58.070,-0.5620117,-0.15014648,0.7692871
will-right,0,0,3,2016-03-18 15:31:58.112,-0.5649414,-0.14990234,0.7492676
will-right,0,0,3,2016-03-18 15:31:58.145,-0.6398926,-0.13549805,0.767334
will-right,0,0,3,2016-03-18 15:31:58.186,-0.5024414,-0.12963867,0.798584
will-right,0,0,3,2016-03-18 15:31:58.204,-0.55566406,-0.14550781,0.8208008
will-right,0,0,3,2016-03-18 15:31:58.238,-0.38671875,-0.31835938,0.9108887
will-right,0,0,3,2016-03-18 15:31:58.288,-0.5415039,-0.1887207,0.8774414
will-right,0,0,3,2016-03-18 15:31:58.296,-0.60009766,-0.043701172,0.89501953
will-right,0,0,3,2016-03-18 15:31:58.339,-0.5390625,-0.42944336,0.8469238
will-right,0,0,3,2016-03-18 15:31:58.361,-0.42089844,-0.34350586,0.861084
will-right,0,0,3,2016-03-18 15:31:58.386,-0.44335938,-0.21801758,0.8977051
will-right,0,0,3,2016-03-18 15:31:58.438,-0.40014648,-0.12988281,0.8613281
will-right,0,0,3,2016-03-18 15:31:58.461,-0.45117188,-0.32739258,0.86816406
will-right,0,0,3,2016-03-18 15:31:58.486,-0.41259766,-0.41503906,0.85839844
will-right,0,0,3,2016-03-18 15:31:58.511,-0.48046875,-0.24121094,0.8869629
will-right,0,0,3,2016-03-18 15:31:58.561,-0.47265625,-0.26611328,0.86816406
will-right,0,0,3,2016-03-18 15:31:58.588,-0.43676758,-0.35302734,0.8051758
will-right,0,0,3,2016-03-18 15:31:58.611,-0.43847656,-0.3330078,0.7927246
will-right,0,0,3,2016-03-18 15:31:58.661,-0.45043945,-0.35546875,0.77197266
will-right,0,0,3,2016-03-18 15:31:58.685,-0.41674805,-0.30639648,0.76464844
will-right,0,0,3,2016-03-18 15:31:58.711,-0.42285156,-0.3347168,0.78100586
will-right,0,0,3,2016-03-18 15:31:58.764,-0.4663086,-0.40795898,0.82128906
will-right,0,0,3,2016-03-18 15:31:58.785,-0.50268555,-0.4794922,0.8557129
will-right,0,0,3,2016-03-18 15:31:58.811,-0.49536133,-0.39892578,0.8640137
will-right,0,0,3,2016-03-18 15:31:58.861,-0.49731445,-0.3166504,0.85498047
will-right,0,0,3,2016-03-18 15:31:58.870,-0.49609375,-0.21972656,0.9211426
will-right,0,0,3,2016-03-18 15:31:58.911,-0.5185547,-0.4152832,0.78344727
will-right,0,0,3,2016-03-18 15:31:58.961,-0.5397949,-0.50805664,0.75024414
will-right,0,0,3,2016-03-18 15:31:58.971,-0.50146484,-0.75219727,0.83618164
will-right,0,0,3,2016-03-18 15:31:59.010,-0.2956543,-0.717041,0.98291016
will-right,0,0,3,2016-03-18 15:31:59.036,-0.31591797,-0.49951172,0.8498535
will-right,0,0,3,2016-03-18 15:31:59.060,-0.37670898,-0.59814453,0.5720215
will-right,0,0,3,2016-03-18 15:31:59.110,-0.51953125,-0.6401367,0.29760742
will-right,0,0,3,2016-03-18 15:31:59.136,-0.49560547,-0.9494629,0.024902344
will-right,0,0,3,2016-03-18 15:31:59.160,-0.48217773,-0.6887207,0.21948242
will-right,0,0,3,2016-03-18 15:31:59.210,-0.45825195,-0.8898926,0.35253906
will-right,0,0,3,2016-03-18 15:31:59.235,-0.28735352,-0.9885254,0.42626953
will-right,0,0,3,2016-03-18 15:31:59.260,-0.32421875,-1.0227051,0.3815918
will-right,0,0,3,2016-03-18 15:31:59.311,-0.26660156,-0.9211426,0.5390625
will-right,0,0,3,2016-03-18 15:31:59.336,-0.31030273,-0.8811035,0.45410156
will-right,0,0,3,2016-03-18 15:31:59.360,-0.36645508,-0.91748047,0.29003906
will-right,0,0,3,2016-03-18 15:31:59.427,-0.33276367,-0.9482422,0.47070313
will-right,0,0,3,2016-03-18 15:31:59.436,-0.37426758,-0.8395996,0.3881836
will-right,0,0,3,2016-03-18 15:31:59.445,-0.3708496,-0.8425293,0.2541504
will-right,0,0,3,2016-03-18 15:31:59.514,-0.3527832,-0.9091797,0.28686523
will-right,0,0,3,2016-03-18 15:31:59.540,-0.37548828,-0.82788086,0.26831055
will-right,0,0,3,2016-03-18 15:31:59.561,-0.41381836,-0.84521484,0.18920898
will-right,0,0,3,2016-03-18 15:31:59.610,-0.44799805,-0.921875,0.23779297
will-right,0,0,3,2016-03-18 15:31:59.618,-0.4633789,-0.9362793,0.26953125
will-right,0,0,3,2016-03-18 15:31:59.660,-0.39257813,-0.95288086,0.32592773
will-right,0,0,3,2016-03-18 15:31:59.686,-0.32348633,-0.8640137,0.41992188
will-right,0,0,3,2016-03-18 15:31:59.710,-0.32836914,-0.8178711,0.43847656
will-right,0,0,3,2016-03-18 15:31:59.762,-0.3737793,-0.84155273,0.32348633
will-right,0,0,3,2016-03-18 15:31:59.786,-0.43798828,-0.8215332,0.24951172
will-right,0,0,3,2016-03-18 15:31:59.810,-0.45532227,-0.8317871,0.24780273
will-right,0,0,3,2016-03-18 15:31:59.838,-0.4736328,-0.87231445,0.25683594
will-right,0,0,3,2016-03-18 15:31:59.886,-0.4645996,-0.8828125,0.27856445
will-right,0,0,3,2016-03-18 15:31:59.910,-0.42871094,-0.84350586,0.3232422
will-right,0,0,3,2016-03-18 15:31:59.962,-0.4333496,-0.83496094,0.28930664
will-right,0,0,3,2016-03-18 15:31:59.989,-0.41552734,-0.8547363,0.35107422
will-right,0,0,3,2016-03-18 15:32:00.011,-0.42578125,-0.8376465,0.34838867
will-right,0,0,3,2016-03-18 15:32:00.060,-0.4543457,-0.8395996,0.28808594
will-right,0,0,3,2016-03-18 15:32:00.085,-0.46118164,-0.810791,0.34643555
will-right,0,0,3,2016-03-18 15:32:00.110,-0.42797852,-0.82666016,0.3881836
will-right,0,0,3,2016-03-18 15:32:00.135,-0.44189453,-0.82250977,0.40551758
will-right,0,0,3,2016-03-18 15:32:00.196,-0.4440918,-0.7956543,0.41748047
will-right,0,0,3,2016-03-18 15:32:00.198,-0.4506836,-0.7597656,0.42626953
will-right,0,0,3,2016-03-18 15:32:00.236,-0.4375,-0.7963867,0.43408203
will-right,0,0,3,2016-03-18 15:32:00.286,-0.46044922,-0.7980957,0.41577148
