_id,sensor_id,date,total_gain,total_loss,STEP_GAIN,STEP_LOSS,STEP_ASC,STEP_DESC,RATE,STAIR_ASC,STAIR_DESC
1,8,2016-03-13 11:09:43.368,1018,1337,0,0,0,0,-4.0,0,0
2,8,2016-03-13 11:09:44.365,1018,1337,0,0,0,0,1.0,0,0
3,8,2016-03-13 11:09:45.374,1018,1337,0,0,0,0,-1.0,0,0
4,8,2016-03-13 11:09:46.365,1018,1337,0,0,0,0,-2.0,0,0
5,8,2016-03-13 11:09:47.366,1018,1337,0,0,0,0,-2.0,0,0
6,8,2016-03-13 11:09:48.365,1018,1337,0,0,0,0,-11.0,0,0
7,8,2016-03-13 11:09:49.364,1018,1337,0,0,0,0,-14.0,0,0
8,8,2016-03-13 11:09:50.369,1018,1337,0,0,0,0,-17.0,0,0
9,8,2016-03-13 11:09:51.383,1018,1337,0,0,0,0,-14.0,0,0
10,8,2016-03-13 11:09:52.365,1018,1337,0,0,0,0,-10.0,0,0
11,8,2016-03-13 11:09:53.367,1018,1337,0,0,0,0,-10.0,0,0
12,8,2016-03-13 11:09:54.368,1018,1337,0,0,0,0,-10.0,0,0
13,8,2016-03-13 11:09:55.365,1018,1337,0,0,0,0,-8.0,0,0
14,8,2016-03-13 11:09:56.369,1018,1337,0,0,0,0,-8.0,0,0
15,8,2016-03-13 11:09:57.364,1018,1337,0,0,0,0,-3.0,0,0
16,8,2016-03-13 11:09:58.364,1018,1337,0,0,0,0,-4.0,0,0
17,8,2016-03-13 11:09:59.365,1018,1337,0,0,0,0,-2.0,0,0
18,8,2016-03-13 11:10:00.364,1018,1337,0,0,0,0,-4.0,0,0
19,8,2016-03-13 11:10:01.366,1018,1337,0,0,0,0,-2.0,0,0
20,8,2016-03-13 11:10:02.366,1018,1337,0,0,0,0,3.0,0,0
21,8,2016-03-13 11:10:03.369,1018,1337,0,0,0,0,4.0,0,0
22,8,2016-03-13 11:10:04.395,1018,1337,0,0,0,0,7.0,0,0
23,8,2016-03-13 11:10:05.367,1018,1337,0,0,0,0,7.0,0,0
24,8,2016-03-13 11:10:06.366,1018,1337,0,0,0,0,9.0,0,0
25,8,2016-03-13 11:10:07.367,1018,1337,0,0,0,0,8.0,0,0
26,8,2016-03-13 11:10:08.385,1018,1337,0,0,0,0,8.0,0,0
27,8,2016-03-13 11:10:09.370,1018,1337,0,0,0,0,4.0,0,0
28,8,2016-03-13 11:10:10.366,1018,1337,0,0,0,0,2.0,0,0
29,8,2016-03-13 11:10:11.368,1018,1337,0,0,0,0,3.0,0,0
30,8,2016-03-13 11:10:12.377,1018,1337,0,0,0,0,2.0,0,0
31,8,2016-03-13 11:10:13.402,1018,1337,0,0,0,0,3.0,0,0
32,8,2016-03-13 11:10:14.368,1018,1337,0,0,0,0,1.0,0,0
33,8,2016-03-13 11:10:15.389,1018,1337,0,0,0,0,0.0,0,0
34,8,2016-03-13 11:10:16.369,1018,1337,0,0,0,0,2.0,0,0
35,8,2016-03-13 11:10:17.366,1018,1337,0,0,0,0,5.0,0,0
36,8,2016-03-13 11:10:18.371,1018,1337,0,0,0,0,5.0,0,0
37,8,2016-03-13 11:10:19.389,1018,1337,0,0,0,0,5.0,0,0
38,8,2016-03-13 11:10:20.365,1018,1337,0,0,0,0,5.0,0,0
39,8,2016-03-13 11:10:21.365,1018,1337,0,0,0,0,2.0,0,0
40,8,2016-03-13 11:10:22.368,1018,1337,0,0,0,0,3.0,0,0
41,8,2016-03-13 11:10:23.377,1018,1337,0,0,0,0,6.0,0,0
42,8,2016-03-13 11:10:24.365,1018,1337,0,0,0,0,6.0,0,0
43,8,2016-03-13 11:10:25.364,1018,1337,0,0,0,0,6.0,0,0
44,8,2016-03-13 11:10:26.368,1018,1337,0,0,0,0,8.0,0,0
45,8,2016-03-13 11:10:27.383,1018,1337,0,0,0,0,9.0,0,0
46,8,2016-03-13 11:10:28.365,1018,1337,0,0,0,0,5.0,0,0
47,8,2016-03-13 11:10:29.374,1018,1337,0,0,0,0,4.0,0,0
48,8,2016-03-13 11:10:30.367,1018,1337,0,0,0,0,2.0,0,0
49,8,2016-03-13 11:10:31.375,1018,1337,0,0,0,0,7.0,0,0
50,8,2016-03-13 11:10:32.368,1018,1337,0,0,0,0,6.0,0,0
51,8,2016-03-13 11:10:33.367,1018,1337,0,0,0,0,6.0,0,0
52,8,2016-03-13 11:10:34.371,1140,1337,0,0,0,0,5.0,0,0
53,8,2016-03-13 11:10:35.366,1140,1337,0,0,0,0,8.0,0,0
54,8,2016-03-13 11:10:36.364,1140,1337,0,0,0,0,6.0,0,0
55,8,2016-03-13 11:10:37.398,1140,1337,0,0,0,0,8.0,0,0
56,8,2016-03-13 11:10:38.373,1140,1337,0,0,0,0,1.0,0,0
57,8,2016-03-13 11:10:39.366,1140,1337,0,0,0,0,1.0,0,0
58,8,2016-03-13 11:10:40.367,1140,1337,0,0,0,0,-1.0,0,0
59,8,2016-03-13 11:10:41.375,1140,1337,0,0,0,0,0.0,0,0
