_id,sensor_id,date,calories
1,6,2016-03-13 11:09:43.145,35018
2,6,2016-03-13 11:09:44.164,35018
3,6,2016-03-13 11:09:45.217,35018
4,6,2016-03-13 11:09:46.241,35018
5,6,2016-03-13 11:09:47.265,35018
6,6,2016-03-13 11:09:48.265,35018
7,6,2016-03-13 11:09:49.314,35018
8,6,2016-03-13 11:09:50.343,35018
9,6,2016-03-13 11:09:51.374,35018
10,6,2016-03-13 11:09:52.389,35018
11,6,2016-03-13 11:09:53.415,35018
12,6,2016-03-13 11:09:54.438,35018
13,6,2016-03-13 11:09:55.489,35018
14,6,2016-03-13 11:09:56.489,35018
15,6,2016-03-13 11:09:57.520,35018
16,6,2016-03-13 11:09:58.544,35018
17,6,2016-03-13 11:09:59.572,35018
18,6,2016-03-13 11:10:00.619,35018
19,6,2016-03-13 11:10:01.645,35018
20,6,2016-03-13 11:10:02.670,35018
21,6,2016-03-13 11:10:03.696,35018
22,6,2016-03-13 11:10:04.719,35018
23,6,2016-03-13 11:10:05.743,35018
24,6,2016-03-13 11:10:06.767,35018
25,6,2016-03-13 11:10:07.790,35018
26,6,2016-03-13 11:10:08.841,35018
27,6,2016-03-13 11:10:09.865,35018
28,6,2016-03-13 11:10:10.870,35018
29,6,2016-03-13 11:10:11.891,35018
30,6,2016-03-13 11:10:12.988,35018
31,6,2016-03-13 11:10:13.966,35018
32,6,2016-03-13 11:10:14.994,35018
33,6,2016-03-13 11:10:16.021,35018
34,6,2016-03-13 11:10:17.039,35018
35,6,2016-03-13 11:10:18.067,35019
36,6,2016-03-13 11:10:19.092,35019
37,6,2016-03-13 11:10:20.140,35019
38,6,2016-03-13 11:10:21.142,35019
39,6,2016-03-13 11:10:22.167,35019
40,6,2016-03-13 11:10:23.216,35019
41,6,2016-03-13 11:10:24.263,35019
42,6,2016-03-13 11:10:25.265,35019
43,6,2016-03-13 11:10:26.292,35019
44,6,2016-03-13 11:10:27.317,35019
45,6,2016-03-13 11:10:28.341,35019
46,6,2016-03-13 11:10:29.365,35019
47,6,2016-03-13 11:10:30.391,35019
48,6,2016-03-13 11:10:31.425,35019
49,6,2016-03-13 11:10:32.466,35019
50,6,2016-03-13 11:10:33.464,35019
51,6,2016-03-13 11:10:34.494,35019
52,6,2016-03-13 11:10:35.519,35019
53,6,2016-03-13 11:10:36.565,35019
54,6,2016-03-13 11:10:37.632,35019
55,6,2016-03-13 11:10:38.619,35019
56,6,2016-03-13 11:10:39.616,35019
57,6,2016-03-13 11:10:40.665,35019
58,6,2016-03-13 11:10:41.690,35019
59,6,2016-03-13 11:10:42.730,35019
60,6,2016-03-13 11:10:43.739,35019
61,6,2016-03-13 11:10:44.767,35019
62,6,2016-03-13 11:10:45.791,35019
63,6,2016-03-13 11:10:46.815,35019
64,6,2016-03-13 11:10:47.839,35019
65,6,2016-03-13 11:10:48.845,35019
66,6,2016-03-13 11:10:49.889,35019
67,6,2016-03-13 11:10:50.921,35019
68,6,2016-03-13 11:10:51.941,35019
69,6,2016-03-13 11:10:52.966,35019
70,6,2016-03-13 11:10:54.012,35019
71,6,2016-03-13 11:10:55.014,35019
72,6,2016-03-13 11:10:56.039,35019
73,6,2016-03-13 11:10:57.067,35019
74,6,2016-03-13 11:10:58.092,35019
75,6,2016-03-13 11:10:59.151,35019
76,6,2016-03-13 11:11:00.116,35019
77,6,2016-03-13 11:11:01.164,35020
78,6,2016-03-13 11:11:02.168,35020
79,6,2016-03-13 11:11:03.205,35020
80,6,2016-03-13 11:11:04.244,35020
81,6,2016-03-13 11:11:05.270,35020
82,6,2016-03-13 11:11:06.265,35020
83,6,2016-03-13 11:11:07.298,35020
84,6,2016-03-13 11:11:08.342,35020
85,6,2016-03-13 11:11:09.364,35020
86,6,2016-03-13 11:11:10.364,35020
87,6,2016-03-13 11:11:11.402,35020
88,6,2016-03-13 11:11:12.433,35020
89,6,2016-03-13 11:11:13.485,35020
90,6,2016-03-13 11:11:14.519,35020
91,6,2016-03-13 11:11:15.493,35020
92,6,2016-03-13 11:11:16.522,35020
93,6,2016-03-13 11:11:17.544,35020
94,6,2016-03-13 11:11:18.566,35020
95,6,2016-03-13 11:11:19.572,35020
96,6,2016-03-13 11:11:20.634,35020
97,6,2016-03-13 11:11:21.694,35020
98,6,2016-03-13 11:11:22.665,35020
99,6,2016-03-13 11:11:23.691,35020
100,6,2016-03-13 11:11:24.716,35020
101,6,2016-03-13 11:11:25.714,35020
102,6,2016-03-13 11:11:26.767,35020
103,6,2016-03-13 11:11:27.791,35020
104,6,2016-03-13 11:11:28.802,35020
105,6,2016-03-13 11:11:29.822,35020
106,6,2016-03-13 11:11:30.867,35020
107,6,2016-03-13 11:11:31.889,35020
108,6,2016-03-13 11:11:32.889,35020
