StudyName,StudyId,DeviceId,SensorId,Time,Temp
akhil-left,0,0,1,2016-03-18 16:47:42.421,32.76
akhil-left,0,0,1,2016-03-18 16:48:12.533,32.79
akhil-left,0,0,1,2016-03-18 16:48:42.615,32.84
akhil-left,0,0,1,2016-03-18 16:49:12.675,32.86
akhil-left,0,0,1,2016-03-18 16:49:42.797,32.88
akhil-left,0,0,1,2016-03-18 16:50:12.855,32.88
akhil-left,0,0,1,2016-03-18 16:50:42.927,32.86
akhil-left,0,0,1,2016-03-18 16:51:12.983,32.87
RawanLeft,1,1,7,2016-03-18 17:00:49.965,28.92
RawanLeft,1,1,7,2016-03-18 17:01:14.722,28.97
RawanLeft,1,1,7,2016-03-18 17:01:44.791,28.98
RawanLeft,1,1,7,2016-03-18 17:02:14.889,29.06
RawanLeft,1,1,7,2016-03-18 17:02:44.981,29.11
RawanLeft,1,1,7,2016-03-18 17:03:15.074,29.11
RawanLeft,1,1,7,2016-03-18 17:03:45.178,29.06
RawanLeft,1,1,7,2016-03-18 17:04:15.257,29.06
RawanLeft,1,1,7,2016-03-18 17:04:45.297,29.08
RawanLeft,1,1,7,2016-03-18 17:05:15.373,29.08
RawanLeft,1,1,7,2016-03-18 17:05:45.460,29.08
RawanLeft,1,1,7,2016-03-18 17:06:15.560,29.08
RawanLeft,1,1,7,2016-03-18 17:06:45.658,29.06
RawanLeft,1,1,7,2016-03-18 17:07:15.712,29.11
RawanLeft,1,1,7,2016-03-18 17:07:45.845,29.1
RawanLeft,1,1,7,2016-03-18 17:08:15.874,29.1
RawanLeft,1,1,7,2016-03-18 17:08:45.962,29.06
RawanLeft,1,1,7,2016-03-18 17:09:16.035,29.06
RawanLeft,1,1,7,2016-03-18 17:09:46.130,29.03
RawanLeft,1,1,7,2016-03-18 17:10:16.212,29.01
RawanLeft,1,1,7,2016-03-18 17:10:46.287,29.02
RawanLeft,1,1,7,2016-03-18 17:11:16.407,29.02
RawanLeft,1,1,7,2016-03-18 17:11:46.458,29.02
RawanLeft,1,1,7,2016-03-18 17:12:16.537,28.99
RawanLeft,1,1,7,2016-03-18 17:12:46.625,28.86
RawanLeft,1,1,7,2016-03-18 17:13:16.683,28.72
RawanLeft,1,1,7,2016-03-18 17:13:46.782,28.6
RawanLeft,1,1,7,2016-03-18 17:14:16.859,28.76
RawanLeft,1,1,7,2016-03-18 17:14:46.922,28.78
RawanLeft,1,1,7,2016-03-18 17:15:17.017,28.77
RawanLeft,1,1,7,2016-03-18 17:15:47.109,28.77
RawanLeft,1,1,7,2016-03-18 17:16:17.182,28.81
RawanLeft,1,1,7,2016-03-18 17:16:47.279,28.84
RawanLeft,1,1,7,2016-03-18 17:17:17.416,28.87
RawanLeft,1,1,7,2016-03-18 17:17:47.482,28.89
RawanLeft,1,1,7,2016-03-18 17:18:17.501,28.77
RawanLeft,1,1,7,2016-03-18 17:18:47.626,28.6
RawanLeft,1,1,7,2016-03-18 17:19:17.697,28.67
RawanLeft,1,1,7,2016-03-18 17:19:47.799,28.7
RawanLeft,1,1,7,2016-03-18 17:20:17.880,28.68
RawanLeft,1,1,7,2016-03-18 17:20:47.931,28.7
RawanLeft,1,1,7,2016-03-18 17:21:18.025,28.68
RawanLeft,1,1,7,2016-03-18 17:21:48.065,28.67
RawanLeft,1,1,7,2016-03-18 17:22:18.182,28.68
RawanLeft,1,1,7,2016-03-18 17:22:48.285,28.64
RawanLeft,1,1,7,2016-03-18 17:23:18.327,28.62
