StudyName,StudyId,DeviceId,SensorId,Time,Gx,Gy,Gz
will-left,0,0,3,2016-03-18 15:32:04.470,-0.80566406,-0.024169922,0.5908203
will-left,0,0,3,2016-03-18 15:32:04.494,-0.796875,-0.03125,0.5842285
will-left,0,0,3,2016-03-18 15:32:04.543,-0.7973633,-0.024902344,0.5905762
will-left,0,0,3,2016-03-18 15:32:04.567,-0.75683594,-0.087890625,0.60180664
will-left,0,0,3,2016-03-18 15:32:04.592,-0.7751465,-0.015380859,0.6394043
will-left,0,0,3,2016-03-18 15:32:04.641,-0.670166,-0.13745117,0.62719727
will-left,0,0,3,2016-03-18 15:32:04.667,-0.4699707,-0.123291016,0.6777344
will-left,0,0,3,2016-03-18 15:32:04.692,-0.4206543,-0.044189453,0.6296387
will-left,0,0,3,2016-03-18 15:32:04.742,-0.4814453,0.09106445,0.56274414
will-left,0,0,3,2016-03-18 15:32:04.768,-0.44262695,0.12158203,0.64941406
will-left,0,0,3,2016-03-18 15:32:04.786,-0.4621582,0.041259766,0.6862793
will-left,0,0,3,2016-03-18 15:32:04.843,-0.548584,0.043701172,0.9013672
will-left,0,0,3,2016-03-18 15:32:04.872,-0.48266602,0.23950195,1.114502
will-left,0,0,3,2016-03-18 15:32:04.893,-0.39746094,0.39331055,1.0449219
will-left,0,0,3,2016-03-18 15:32:04.918,-0.31518555,0.3046875,0.99853516
will-left,0,0,3,2016-03-18 15:32:04.967,-0.20996094,0.3947754,1.0852051
will-left,0,0,3,2016-03-18 15:32:04.994,-0.15161133,0.15771484,1.0776367
will-left,0,0,3,2016-03-18 15:32:05.018,-0.1171875,0.3449707,1.0703125
will-left,0,0,3,2016-03-18 15:32:05.067,-0.13061523,0.20922852,0.99780273
will-left,0,0,3,2016-03-18 15:32:05.092,-0.111083984,0.015625,1.0339355
will-left,0,0,3,2016-03-18 15:32:05.124,-0.09033203,0.27734375,1.2983398
will-left,0,0,3,2016-03-18 15:32:05.168,-0.11621094,0.4033203,1.2600098
will-left,0,0,3,2016-03-18 15:32:05.198,-0.115478516,0.1616211,0.9121094
will-left,0,0,3,2016-03-18 15:32:05.223,-0.17626953,0.06542969,0.90771484
will-left,0,0,3,2016-03-18 15:32:05.268,-0.16992188,0.12719727,0.9367676
will-left,0,0,3,2016-03-18 15:32:05.292,-0.18334961,0.12548828,0.9719238
will-left,0,0,3,2016-03-18 15:32:05.317,-0.19335938,0.10546875,0.9836426
will-left,0,0,3,2016-03-18 15:32:05.367,-0.15063477,0.13647461,1.001709
will-left,0,0,3,2016-03-18 15:32:05.392,-0.099365234,0.15844727,0.9782715
will-left,0,0,3,2016-03-18 15:32:05.419,-0.08081055,0.25756836,0.99438477
will-left,0,0,3,2016-03-18 15:32:05.472,-0.079833984,0.29833984,0.9963379
will-left,0,0,3,2016-03-18 15:32:05.493,-0.076660156,0.30932617,0.96850586
will-left,0,0,3,2016-03-18 15:32:05.521,-0.0859375,0.29101563,0.96606445
will-left,0,0,3,2016-03-18 15:32:05.567,-0.08618164,0.25976563,0.9699707
will-left,0,0,3,2016-03-18 15:32:05.581,-0.09106445,0.24511719,0.96850586
will-left,0,0,3,2016-03-18 15:32:05.632,-0.09814453,0.23999023,0.95043945
will-left,0,0,3,2016-03-18 15:32:05.667,-0.08911133,0.24975586,0.9526367
will-left,0,0,3,2016-03-18 15:32:05.686,-0.087402344,0.2680664,0.96728516
will-left,0,0,3,2016-03-18 15:32:05.718,-0.08569336,0.27905273,0.9626465
will-left,0,0,3,2016-03-18 15:32:05.767,-0.080566406,0.26879883,0.95410156
will-left,0,0,3,2016-03-18 15:32:05.780,-0.07739258,0.24853516,0.94921875
will-left,0,0,3,2016-03-18 15:32:05.818,-0.10668945,0.32202148,0.9926758
will-left,0,0,3,2016-03-18 15:32:05.843,-0.09375,0.2944336,0.9692383
will-left,0,0,3,2016-03-18 15:32:05.871,-0.083984375,0.26733398,0.94970703
will-left,0,0,3,2016-03-18 15:32:05.917,-0.09399414,0.25927734,0.9523926
will-left,0,0,3,2016-03-18 15:32:05.943,-0.11401367,0.24584961,0.9580078
will-left,0,0,3,2016-03-18 15:32:05.967,-0.115722656,0.25195313,0.9604492
will-left,0,0,3,2016-03-18 15:32:06.017,-0.10986328,0.23608398,0.9628906
will-left,0,0,3,2016-03-18 15:32:06.036,-0.10229492,0.24243164,0.96850586
will-left,0,0,3,2016-03-18 15:32:06.073,-0.09741211,0.24243164,0.9645996
will-left,0,0,3,2016-03-18 15:32:06.101,-0.100097656,0.25585938,0.9626465
will-left,0,0,3,2016-03-18 15:32:06.143,-0.0925293,0.27001953,0.9753418
will-left,0,0,3,2016-03-18 15:32:06.168,-0.099609375,0.26000977,0.9655762
will-left,0,0,3,2016-03-18 15:32:06.217,-0.10229492,0.24951172,0.95751953
will-left,0,0,3,2016-03-18 15:32:06.242,-0.09448242,0.2602539,0.9692383
will-left,0,0,3,2016-03-18 15:32:06.268,-0.09350586,0.2619629,0.96533203
will-left,0,0,3,2016-03-18 15:32:06.318,-0.09277344,0.26391602,0.96118164
will-left,0,0,3,2016-03-18 15:32:06.344,-0.092041016,0.265625,0.96533203
will-left,0,0,3,2016-03-18 15:32:06.368,-0.091308594,0.27075195,0.9650879
will-left,0,0,3,2016-03-18 15:32:06.393,-0.09814453,0.2775879,0.9663086
will-left,0,0,3,2016-03-18 15:32:06.442,-0.09863281,0.26953125,0.96533203
will-left,0,0,3,2016-03-18 15:32:06.467,-0.09667969,0.26000977,0.96484375
will-left,0,0,3,2016-03-18 15:32:06.494,-0.10205078,0.2529297,0.96484375
will-left,0,0,3,2016-03-18 15:32:06.542,-0.10546875,0.24584961,0.96484375
will-left,0,0,3,2016-03-18 15:32:06.573,-0.11010742,0.24121094,0.9572754
will-left,0,0,3,2016-03-18 15:32:06.593,-0.103027344,0.23510742,0.967041
will-left,0,0,3,2016-03-18 15:32:06.642,-0.111328125,0.25146484,0.9729004
will-left,0,0,3,2016-03-18 15:32:06.658,-0.107666016,0.25024414,0.9602051
will-left,0,0,3,2016-03-18 15:32:06.692,-0.11352539,0.24072266,0.95654297
will-left,0,0,3,2016-03-18 15:32:06.761,-0.11694336,0.2446289,0.96777344
will-left,0,0,3,2016-03-18 15:32:06.763,-0.107910156,0.24511719,0.96850586
will-left,0,0,3,2016-03-18 15:32:06.801,-0.10595703,0.2434082,0.96435547
will-left,0,0,3,2016-03-18 15:32:06.843,-0.10839844,0.24267578,0.9663086
will-left,0,0,3,2016-03-18 15:32:06.871,-0.10913086,0.24584961,0.96435547
will-left,0,0,3,2016-03-18 15:32:06.893,-0.111572266,0.24169922,0.96435547
will-left,0,0,3,2016-03-18 15:32:06.910,-0.106933594,0.24853516,0.9650879
will-left,0,0,3,2016-03-18 15:32:06.942,-0.10083008,0.2529297,0.9682617
will-left,0,0,3,2016-03-18 15:32:06.992,-0.103515625,0.24682617,0.9614258
will-left,0,0,3,2016-03-18 15:32:07.023,-0.10620117,0.2512207,0.9675293
will-left,0,0,3,2016-03-18 15:32:07.048,-0.09667969,0.2607422,0.97216797
will-left,0,0,3,2016-03-18 15:32:07.093,-0.09838867,0.25854492,0.96362305
will-left,0,0,3,2016-03-18 15:32:07.121,-0.10449219,0.2553711,0.96191406
will-left,0,0,3,2016-03-18 15:32:07.147,-0.10961914,0.25585938,0.9658203
will-left,0,0,3,2016-03-18 15:32:07.198,-0.10180664,0.2475586,0.96240234
will-left,0,0,3,2016-03-18 15:32:07.218,-0.10083008,0.2553711,0.9658203
will-left,0,0,3,2016-03-18 15:32:07.242,-0.103027344,0.24804688,0.9609375
will-left,0,0,3,2016-03-18 15:32:07.292,-0.10668945,0.25268555,0.9645996
will-left,0,0,3,2016-03-18 15:32:07.318,-0.10644531,0.25561523,0.9645996
will-left,0,0,3,2016-03-18 15:32:07.343,-0.107910156,0.25170898,0.9655762
will-left,0,0,3,2016-03-18 15:32:07.376,-0.10180664,0.25,0.9626465
will-left,0,0,3,2016-03-18 15:32:07.424,-0.10668945,0.24853516,0.9645996
will-left,0,0,3,2016-03-18 15:32:07.442,-0.10571289,0.2548828,0.96875
will-left,0,0,3,2016-03-18 15:32:07.492,-0.103027344,0.24536133,0.9638672
will-left,0,0,3,2016-03-18 15:32:07.517,-0.10498047,0.24951172,0.9667969
will-left,0,0,3,2016-03-18 15:32:07.543,-0.107666016,0.25610352,0.9658203
will-left,0,0,3,2016-03-18 15:32:07.592,-0.10864258,0.2524414,0.96875
will-left,0,0,3,2016-03-18 15:32:07.625,-0.10546875,0.24804688,0.9641113
will-left,0,0,3,2016-03-18 15:32:07.642,-0.103759766,0.24536133,0.9621582
will-left,0,0,3,2016-03-18 15:32:07.698,-0.10449219,0.24926758,0.9633789
will-left,0,0,3,2016-03-18 15:32:07.719,-0.10449219,0.24926758,0.9658203
will-left,0,0,3,2016-03-18 15:32:07.738,-0.107421875,0.2524414,0.96533203
will-left,0,0,3,2016-03-18 15:32:07.793,-0.10595703,0.25097656,0.96533203
will-left,0,0,3,2016-03-18 15:32:07.818,-0.10644531,0.25195313,0.9638672
will-left,0,0,3,2016-03-18 15:32:07.833,-0.107910156,0.24926758,0.96655273
will-left,0,0,3,2016-03-18 15:32:07.893,-0.103515625,0.24658203,0.9638672
will-left,0,0,3,2016-03-18 15:32:07.935,-0.107421875,0.25048828,0.9667969
will-left,0,0,3,2016-03-18 15:32:07.936,-0.10668945,0.25219727,0.96655273
will-left,0,0,3,2016-03-18 15:32:07.993,-0.10839844,0.25268555,0.96875
will-left,0,0,3,2016-03-18 15:32:08.012,-0.10620117,0.25268555,0.9699707
will-left,0,0,3,2016-03-18 15:32:08.048,-0.09790039,0.2565918,0.96875
will-left,0,0,3,2016-03-18 15:32:08.093,-0.1003418,0.24853516,0.9628906
will-left,0,0,3,2016-03-18 15:32:08.107,-0.119628906,0.22045898,0.9477539
will-left,0,0,3,2016-03-18 15:32:08.143,-0.13696289,0.22851563,0.9577637
will-left,0,0,3,2016-03-18 15:32:08.160,-0.10083008,0.2541504,0.9699707
will-left,0,0,3,2016-03-18 15:32:08.192,-0.08642578,0.2631836,0.9748535
will-left,0,0,3,2016-03-18 15:32:08.243,-0.099121094,0.26293945,0.96728516
will-left,0,0,3,2016-03-18 15:32:08.269,-0.100097656,0.2668457,0.9680176
will-left,0,0,3,2016-03-18 15:32:08.293,-0.10058594,0.2578125,0.96875
will-left,0,0,3,2016-03-18 15:32:08.348,-0.10522461,0.23901367,0.9614258
will-left,0,0,3,2016-03-18 15:32:08.361,-0.10839844,0.24365234,0.9667969
will-left,0,0,3,2016-03-18 15:32:08.393,-0.10888672,0.2536621,0.9616699
will-left,0,0,3,2016-03-18 15:32:08.442,-0.111816406,0.25390625,0.95874023
will-left,0,0,3,2016-03-18 15:32:08.467,-0.10449219,0.25683594,0.97021484
will-left,0,0,3,2016-03-18 15:32:08.493,-0.104003906,0.24804688,0.9650879
will-left,0,0,3,2016-03-18 15:32:08.517,-0.103515625,0.23608398,0.9626465
will-left,0,0,3,2016-03-18 15:32:08.573,-0.11010742,0.24365234,0.96728516
will-left,0,0,3,2016-03-18 15:32:08.593,-0.107421875,0.25390625,0.9655762
will-left,0,0,3,2016-03-18 15:32:08.620,-0.10571289,0.26000977,0.9675293
will-left,0,0,3,2016-03-18 15:32:08.657,-0.1081543,0.24975586,0.96435547
will-left,0,0,3,2016-03-18 15:32:08.693,-0.10473633,0.24829102,0.9638672
will-left,0,0,3,2016-03-18 15:32:08.718,-0.10498047,0.24780273,0.9616699
will-left,0,0,3,2016-03-18 15:32:08.767,-0.10424805,0.24780273,0.9655762
will-left,0,0,3,2016-03-18 15:32:08.793,-0.10229492,0.25585938,0.967041
will-left,0,0,3,2016-03-18 15:32:08.817,-0.10620117,0.25170898,0.96655273
will-left,0,0,3,2016-03-18 15:32:08.867,-0.10888672,0.25,0.9609375
will-left,0,0,3,2016-03-18 15:32:08.883,-0.11010742,0.2602539,0.9628906
will-left,0,0,3,2016-03-18 15:32:08.917,-0.106933594,0.24926758,0.96850586
will-left,0,0,3,2016-03-18 15:32:08.967,-0.10839844,0.24511719,0.9663086
will-left,0,0,3,2016-03-18 15:32:08.992,-0.10864258,0.24536133,0.9655762
will-left,0,0,3,2016-03-18 15:32:09.023,-0.10595703,0.24951172,0.96362305
will-left,0,0,3,2016-03-18 15:32:09.067,-0.10913086,0.2512207,0.96655273
will-left,0,0,3,2016-03-18 15:32:09.081,-0.11376953,0.24633789,0.9663086
will-left,0,0,3,2016-03-18 15:32:09.132,-0.10620117,0.24731445,0.96191406
will-left,0,0,3,2016-03-18 15:32:09.167,-0.1081543,0.2475586,0.9682617
will-left,0,0,3,2016-03-18 15:32:09.181,-0.10961914,0.24365234,0.970459
will-left,0,0,3,2016-03-18 15:32:09.214,-0.11254883,0.24072266,0.9614258
will-left,0,0,3,2016-03-18 15:32:09.269,-0.109375,0.25146484,0.96777344
will-left,0,0,3,2016-03-18 15:32:09.283,-0.10986328,0.24951172,0.9658203
will-left,0,0,3,2016-03-18 15:32:09.318,-0.11279297,0.24316406,0.96899414
will-left,0,0,3,2016-03-18 15:32:09.342,-0.106933594,0.23461914,0.967041
will-left,0,0,3,2016-03-18 15:32:09.367,-0.10546875,0.23608398,0.9633789
will-left,0,0,3,2016-03-18 15:32:09.418,-0.11010742,0.24682617,0.96655273
will-left,0,0,3,2016-03-18 15:32:09.442,-0.111572266,0.2529297,0.96655273
will-left,0,0,3,2016-03-18 15:32:09.467,-0.11425781,0.24511719,0.96484375
will-left,0,0,3,2016-03-18 15:32:09.518,-0.111328125,0.23803711,0.9650879
will-left,0,0,3,2016-03-18 15:32:09.544,-0.107666016,0.24194336,0.96777344
will-left,0,0,3,2016-03-18 15:32:09.568,-0.10839844,0.24047852,0.9658203
will-left,0,0,3,2016-03-18 15:32:09.630,-0.11206055,0.2397461,0.96655273
will-left,0,0,3,2016-03-18 15:32:09.644,-0.10961914,0.24584961,0.9650879
will-left,0,0,3,2016-03-18 15:32:09.669,-0.1105957,0.24560547,0.96484375
will-left,0,0,3,2016-03-18 15:32:09.717,-0.11376953,0.24414063,0.9682617
will-left,0,0,3,2016-03-18 15:32:09.742,-0.10986328,0.23876953,0.96655273
will-left,0,0,3,2016-03-18 15:32:09.768,-0.109375,0.23706055,0.9633789
will-left,0,0,3,2016-03-18 15:32:09.824,-0.10913086,0.2409668,0.9655762
will-left,0,0,3,2016-03-18 15:32:09.844,-0.10668945,0.24560547,0.9694824
will-left,0,0,3,2016-03-18 15:32:09.871,-0.11328125,0.24487305,0.9682617
will-left,0,0,3,2016-03-18 15:32:09.936,-0.11376953,0.24487305,0.9692383
will-left,0,0,3,2016-03-18 15:32:09.950,-0.107666016,0.24560547,0.9650879
will-left,0,0,3,2016-03-18 15:32:09.968,-0.1105957,0.23901367,0.9645996
will-left,0,0,3,2016-03-18 15:32:09.992,-0.107910156,0.23901367,0.96435547
will-left,0,0,3,2016-03-18 15:32:10.047,-0.11401367,0.24072266,0.96240234
will-left,0,0,3,2016-03-18 15:32:10.068,-0.11328125,0.24414063,0.96728516
will-left,0,0,3,2016-03-18 15:32:10.093,-0.109375,0.24731445,0.967041
will-left,0,0,3,2016-03-18 15:32:10.142,-0.11230469,0.2409668,0.96533203
will-left,0,0,3,2016-03-18 15:32:10.161,-0.11303711,0.23999023,0.96435547
will-left,0,0,3,2016-03-18 15:32:10.199,-0.1105957,0.24047852,0.9663086
will-left,0,0,3,2016-03-18 15:32:10.260,-0.110839844,0.23925781,0.96533203
will-left,0,0,3,2016-03-18 15:32:10.266,-0.1081543,0.24072266,0.9645996
will-left,0,0,3,2016-03-18 15:32:10.293,-0.11425781,0.24316406,0.96728516
will-left,0,0,3,2016-03-18 15:32:10.343,-0.11303711,0.24243164,0.9675293
will-left,0,0,3,2016-03-18 15:32:10.356,-0.10961914,0.24511719,0.96777344
will-left,0,0,3,2016-03-18 15:32:10.398,-0.10961914,0.2397461,0.96435547
will-left,0,0,3,2016-03-18 15:32:10.422,-0.11328125,0.2355957,0.9663086
will-left,0,0,3,2016-03-18 15:32:10.473,-0.10986328,0.24194336,0.96777344
will-left,0,0,3,2016-03-18 15:32:10.484,-0.10864258,0.24682617,0.96728516
will-left,0,0,3,2016-03-18 15:32:10.523,-0.111328125,0.24291992,0.9655762
will-left,0,0,3,2016-03-18 15:32:10.573,-0.115234375,0.24511719,0.9667969
will-left,0,0,3,2016-03-18 15:32:10.592,-0.11035156,0.24365234,0.96313477
will-left,0,0,3,2016-03-18 15:32:10.623,-0.118896484,0.23046875,0.9592285
will-left,0,0,3,2016-03-18 15:32:10.643,-0.11230469,0.2331543,0.9550781
will-left,0,0,3,2016-03-18 15:32:10.693,-0.10888672,0.21411133,0.95874023
will-left,0,0,3,2016-03-18 15:32:10.717,-0.1262207,0.19580078,0.9316406
will-left,0,0,3,2016-03-18 15:32:10.741,-0.111328125,0.28686523,0.9494629
will-left,0,0,3,2016-03-18 15:32:10.792,-0.092041016,0.31689453,0.9951172
will-left,0,0,3,2016-03-18 15:32:10.817,-0.06958008,0.26660156,0.9248047
will-left,0,0,3,2016-03-18 15:32:10.844,-0.07788086,0.44848633,0.9555664
will-left,0,0,3,2016-03-18 15:32:10.893,-0.037353516,0.51293945,1.0107422
will-left,0,0,3,2016-03-18 15:32:10.918,-0.0087890625,0.4831543,0.94970703
will-left,0,0,3,2016-03-18 15:32:10.942,-0.044677734,0.5612793,0.88916016
will-left,0,0,3,2016-03-18 15:32:10.992,-0.1574707,0.6672363,1.0090332
will-left,0,0,3,2016-03-18 15:32:11.014,-0.16918945,0.7883301,1.0444336
will-left,0,0,3,2016-03-18 15:32:11.043,-0.20727539,0.8066406,0.8796387
will-left,0,0,3,2016-03-18 15:32:11.068,-0.28979492,1.0429688,0.7597656
will-left,0,0,3,2016-03-18 15:32:11.131,-0.3173828,0.9423828,0.5998535
will-left,0,0,3,2016-03-18 15:32:11.144,-0.34838867,0.98583984,0.53686523
will-left,0,0,3,2016-03-18 15:32:11.161,-0.4020996,0.94384766,0.46020508
will-left,0,0,3,2016-03-18 15:32:11.218,-0.40942383,0.85131836,0.3942871
will-left,0,0,3,2016-03-18 15:32:11.242,-0.43359375,0.84521484,0.32885742
will-left,0,0,3,2016-03-18 15:32:11.268,-0.45874023,0.8288574,0.3515625
will-left,0,0,3,2016-03-18 15:32:11.317,-0.5031738,0.6862793,0.26904297
will-left,0,0,3,2016-03-18 15:32:11.342,-0.51586914,0.6064453,0.26879883
will-left,0,0,3,2016-03-18 15:32:11.361,-0.5263672,0.47021484,0.23754883
will-left,0,0,3,2016-03-18 15:32:11.417,-0.5371094,0.35083008,0.23266602
