StudyName,StudyId,DeviceId,SensorId,Time,Resistance
will-left,0,0,5,2016-03-18 15:32:04.232,5860.0
will-left,0,0,5,2016-03-18 15:32:09.201,5627.0
will-left,0,0,5,2016-03-18 15:32:14.182,5638.0
will-left,0,0,5,2016-03-18 15:32:19.156,5692.0
will-left,0,0,5,2016-03-18 15:32:24.158,5617.0
will-left,0,0,5,2016-03-18 15:32:29.150,5543.0
will-left,0,0,5,2016-03-18 15:32:34.093,5511.0
will-left,0,0,5,2016-03-18 15:32:39.082,5532.0
will-left,0,0,5,2016-03-18 15:32:44.068,5470.0
will-left,0,0,5,2016-03-18 15:32:49.043,5470.0
will-left,0,0,5,2016-03-18 15:32:54.018,5440.0
will-left,0,0,5,2016-03-18 15:32:59.009,5086.0
will-left,0,0,5,2016-03-18 15:33:03.981,4876.0
will-left,0,0,5,2016-03-18 15:33:08.982,5032.0
will-left,0,0,5,2016-03-18 15:33:13.967,5041.0
will-left,0,0,5,2016-03-18 15:33:18.929,5086.0
will-left,0,0,5,2016-03-18 15:33:23.912,5050.0
will-left,0,0,5,2016-03-18 15:33:28.887,5095.0
will-left,0,0,5,2016-03-18 15:33:33.880,5041.0
will-left,0,0,5,2016-03-18 15:33:38.862,5032.0
will-left,0,0,5,2016-03-18 15:33:43.846,5059.0
will-left,0,0,5,2016-03-18 15:33:48.818,5032.0
will-left,0,0,5,2016-03-18 15:33:53.806,5050.0
will-left,0,0,5,2016-03-18 15:33:58.786,4997.0
will-left,0,0,5,2016-03-18 15:34:03.741,4979.0
will-left,0,0,5,2016-03-18 15:34:08.744,4979.0
will-left,0,0,5,2016-03-18 15:34:13.731,4988.0
will-left,0,0,5,2016-03-18 15:34:18.723,5023.0
will-left,0,0,5,2016-03-18 15:34:23.669,5014.0
will-left,0,0,5,2016-03-18 15:34:28.669,5005.0
will-left,0,0,5,2016-03-18 15:34:33.623,4988.0
will-left,0,0,5,2016-03-18 15:34:38.632,4936.0
will-left,0,0,5,2016-03-18 15:34:43.585,4902.0
will-left,0,0,5,2016-03-18 15:34:48.576,4885.0
will-left,0,0,5,2016-03-18 15:34:53.558,4876.0
will-left,0,0,5,2016-03-18 15:34:58.541,4885.0
will-left,0,0,5,2016-03-18 15:35:03.524,4859.0
will-left,0,0,5,2016-03-18 15:35:08.512,4826.0
will-left,0,0,5,2016-03-18 15:35:13.498,4818.0
will-left,0,0,5,2016-03-18 15:35:18.473,4809.0
will-left,0,0,5,2016-03-18 15:35:23.441,4801.0
will-left,0,0,5,2016-03-18 15:35:28.429,4809.0
will-left,0,0,5,2016-03-18 15:35:33.393,4801.0
will-left,0,0,5,2016-03-18 15:35:38.378,4785.0
will-left,0,0,5,2016-03-18 15:35:43.365,4744.0
will-left,0,0,5,2016-03-18 15:35:48.360,4728.0
will-left,0,0,5,2016-03-18 15:35:53.318,4720.0
will-left,0,0,5,2016-03-18 15:35:58.290,4712.0
will-left,0,0,5,2016-03-18 15:36:03.280,4696.0
will-left,0,0,5,2016-03-18 15:36:08.279,4688.0
will-left,0,0,5,2016-03-18 15:36:13.257,4704.0
will-left,0,0,5,2016-03-18 15:36:18.215,4688.0
will-left,0,0,5,2016-03-18 15:36:23.205,4680.0
will-left,0,0,5,2016-03-18 15:36:28.190,4665.0
will-left,0,0,5,2016-03-18 15:36:33.165,4649.0
will-left,0,0,5,2016-03-18 15:36:38.140,4618.0
will-left,0,0,5,2016-03-18 15:36:43.137,4610.0
will-left,0,0,5,2016-03-18 15:36:48.104,4595.0
will-left,0,0,5,2016-03-18 15:36:53.077,4587.0
will-left,0,0,5,2016-03-18 15:36:58.078,4572.0
will-left,0,0,5,2016-03-18 15:37:03.067,4587.0
