_id,sensor_id,date,calories
1,3,2016-03-13 13:59:57.135,35258
2,7,2016-03-13 13:59:58.204,35258
3,7,2016-03-13 13:59:59.268,35258
4,7,2016-03-13 14:00:00.282,35258
5,7,2016-03-13 14:00:01.301,35258
6,7,2016-03-13 14:00:02.360,35258
7,7,2016-03-13 14:00:03.395,35258
8,7,2016-03-13 14:00:04.426,35258
9,7,2016-03-13 14:00:05.451,35258
10,7,2016-03-13 14:00:06.521,35258
11,7,2016-03-13 14:00:07.529,35258
12,7,2016-03-13 14:00:08.554,35258
13,7,2016-03-13 14:00:09.605,35258
14,7,2016-03-13 14:00:10.628,35258
15,7,2016-03-13 14:00:11.659,35258
16,7,2016-03-13 14:00:12.704,35258
17,7,2016-03-13 14:00:13.728,35258
18,7,2016-03-13 14:00:14.760,35258
19,7,2016-03-13 14:00:15.806,35258
20,7,2016-03-13 14:00:16.829,35258
21,7,2016-03-13 14:00:17.856,35258
22,7,2016-03-13 14:00:18.904,35258
23,7,2016-03-13 14:00:19.929,35258
24,7,2016-03-13 14:00:20.998,35258
25,7,2016-03-13 14:00:22.004,35258
26,7,2016-03-13 14:00:23.054,35258
27,7,2016-03-13 14:00:24.079,35258
28,7,2016-03-13 14:00:25.129,35258
29,7,2016-03-13 14:00:26.144,35258
30,7,2016-03-13 14:00:27.181,35258
31,7,2016-03-13 14:00:28.238,35258
32,7,2016-03-13 14:00:29.254,35258
33,7,2016-03-13 14:00:30.280,35258
34,7,2016-03-13 14:00:31.331,35258
35,7,2016-03-13 14:00:32.354,35258
36,7,2016-03-13 14:00:33.414,35259
37,7,2016-03-13 14:00:34.429,35259
38,7,2016-03-13 14:00:35.454,35259
39,7,2016-03-13 14:00:36.504,35259
40,7,2016-03-13 14:00:37.534,35259
41,7,2016-03-13 14:00:38.553,35259
42,7,2016-03-13 14:00:39.610,35259
43,7,2016-03-13 14:00:40.633,35259
44,7,2016-03-13 14:00:41.655,35259
45,7,2016-03-13 14:00:42.706,35259
46,7,2016-03-13 14:00:43.732,35259
47,7,2016-03-13 14:00:44.754,35259
48,7,2016-03-13 14:00:45.804,35259
49,7,2016-03-13 14:00:46.829,35259
50,7,2016-03-13 14:00:47.855,35259
51,7,2016-03-13 14:00:48.905,35259
52,7,2016-03-13 14:00:49.932,35259
53,7,2016-03-13 14:00:50.979,35259
54,7,2016-03-13 14:00:52.009,35259
55,7,2016-03-13 14:00:53.065,35259
56,7,2016-03-13 14:00:54.082,35259
57,7,2016-03-13 14:00:55.133,35259
58,7,2016-03-13 14:00:56.157,35259
59,7,2016-03-13 14:00:57.182,35259
60,7,2016-03-13 14:00:58.204,35259
61,7,2016-03-13 14:00:59.230,35259
62,7,2016-03-13 14:01:00.256,35259
63,7,2016-03-13 14:01:01.271,35259
64,7,2016-03-13 14:01:02.305,35259
65,7,2016-03-13 14:01:03.333,35259
66,7,2016-03-13 14:01:04.348,35259
67,7,2016-03-13 14:01:05.385,35259
68,7,2016-03-13 14:01:06.406,35259
69,7,2016-03-13 14:01:07.429,35259
70,7,2016-03-13 14:01:08.482,35259
71,7,2016-03-13 14:01:09.483,35259
72,7,2016-03-13 14:01:10.504,35259
73,7,2016-03-13 14:01:11.537,35259
74,7,2016-03-13 14:01:12.554,35259
75,7,2016-03-13 14:01:13.554,35259
76,7,2016-03-13 14:01:14.605,35259
77,7,2016-03-13 14:01:15.630,35259
78,7,2016-03-13 14:01:16.656,35260
79,7,2016-03-13 14:01:17.679,35260
80,7,2016-03-13 14:01:18.694,35260
81,7,2016-03-13 14:01:19.731,35260
82,7,2016-03-13 14:01:20.757,35260
83,7,2016-03-13 14:01:21.754,35260
84,7,2016-03-13 14:01:22.805,35260
85,7,2016-03-13 14:01:23.829,35260
86,7,2016-03-13 14:01:24.829,35260
87,7,2016-03-13 14:01:25.856,35260
88,7,2016-03-13 14:01:26.904,35260
89,7,2016-03-13 14:01:27.905,35260
90,7,2016-03-13 14:01:28.929,35260
91,7,2016-03-13 14:01:29.954,35260
92,7,2016-03-13 14:01:30.979,35260
93,7,2016-03-13 14:01:32.009,35260
94,7,2016-03-13 14:01:33.037,35260
95,7,2016-03-13 14:01:34.054,35260
96,7,2016-03-13 14:01:35.080,35260
97,7,2016-03-13 14:01:36.104,35260
98,7,2016-03-13 14:01:37.129,35260
99,7,2016-03-13 14:01:38.155,35260
100,7,2016-03-13 14:01:39.179,35260
101,7,2016-03-13 14:01:40.206,35260
102,7,2016-03-13 14:01:41.230,35260
103,7,2016-03-13 14:01:42.253,35260
104,7,2016-03-13 14:01:43.279,35260
105,7,2016-03-13 14:01:44.322,35260
106,7,2016-03-13 14:01:45.336,35260
107,7,2016-03-13 14:01:46.330,35260
108,7,2016-03-13 14:01:47.356,35260
109,7,2016-03-13 14:01:48.390,35260
110,7,2016-03-13 14:01:49.429,35260
111,7,2016-03-13 14:01:50.456,35260
112,7,2016-03-13 14:01:51.455,35260
113,7,2016-03-13 14:01:52.504,35260
114,7,2016-03-13 14:01:53.529,35260
115,7,2016-03-13 14:01:54.554,35260
116,7,2016-03-13 14:01:55.556,35260
117,7,2016-03-13 14:01:56.595,35260
118,7,2016-03-13 14:01:57.623,35260
119,7,2016-03-13 14:01:58.632,35260
120,7,2016-03-13 14:01:59.662,35261
121,7,2016-03-13 14:02:00.696,35261
122,7,2016-03-13 14:02:01.707,35261
123,7,2016-03-13 14:02:02.730,35261
124,7,2016-03-13 14:02:03.756,35261
125,7,2016-03-13 14:02:04.779,35261
126,7,2016-03-13 14:02:05.806,35261
