_id,sensor_id,date,contactState
1,0,2016-03-13 13:59:56.745,Not Worn
2,0,2016-03-13 14:52:03.677,Worn
3,0,2016-03-13 14:52:54.153,Not Worn
4,0,2016-03-13 14:53:08.423,Not Worn
