StudyName,StudyId,DeviceId,SensorId,Time,AmbientLight
will-left,0,0,2,2016-03-18 15:32:02.128,58
will-left,0,0,2,2016-03-18 15:32:02.623,58
will-left,0,0,2,2016-03-18 15:32:03.107,58
will-left,0,0,2,2016-03-18 15:32:03.632,57
will-left,0,0,2,2016-03-18 15:32:04.108,55
will-left,0,0,2,2016-03-18 15:32:04.606,60
will-left,0,0,2,2016-03-18 15:32:05.104,77
will-left,0,0,2,2016-03-18 15:32:05.618,85
will-left,0,0,2,2016-03-18 15:32:06.109,84
will-left,0,0,2,2016-03-18 15:32:06.607,83
will-left,0,0,2,2016-03-18 15:32:07.107,84
will-left,0,0,2,2016-03-18 15:32:07.608,83
will-left,0,0,2,2016-03-18 15:32:08.120,83
will-left,0,0,2,2016-03-18 15:32:08.606,84
will-left,0,0,2,2016-03-18 15:32:09.118,83
will-left,0,0,2,2016-03-18 15:32:09.617,83
will-left,0,0,2,2016-03-18 15:32:10.107,83
will-left,0,0,2,2016-03-18 15:32:10.607,83
will-left,0,0,2,2016-03-18 15:32:11.117,83
will-left,0,0,2,2016-03-18 15:32:11.607,58
will-left,0,0,2,2016-03-18 15:32:12.104,68
will-left,0,0,2,2016-03-18 15:32:12.606,59
will-left,0,0,2,2016-03-18 15:32:13.117,65
will-left,0,0,2,2016-03-18 15:32:13.607,57
will-left,0,0,2,2016-03-18 15:32:14.119,63
will-left,0,0,2,2016-03-18 15:32:14.630,85
will-left,0,0,2,2016-03-18 15:32:15.110,84
will-left,0,0,2,2016-03-18 15:32:15.609,85
will-left,0,0,2,2016-03-18 15:32:16.111,69
will-left,0,0,2,2016-03-18 15:32:16.635,61
will-left,0,0,2,2016-03-18 15:32:17.125,83
will-left,0,0,2,2016-03-18 15:32:17.617,85
will-left,0,0,2,2016-03-18 15:32:18.118,86
will-left,0,0,2,2016-03-18 15:32:18.631,87
will-left,0,0,2,2016-03-18 15:32:19.105,87
will-left,0,0,2,2016-03-18 15:32:19.606,88
will-left,0,0,2,2016-03-18 15:32:20.110,88
will-left,0,0,2,2016-03-18 15:32:20.612,87
will-left,0,0,2,2016-03-18 15:32:21.117,88
will-left,0,0,2,2016-03-18 15:32:21.618,88
will-left,0,0,2,2016-03-18 15:32:22.117,88
will-left,0,0,2,2016-03-18 15:32:22.635,88
will-left,0,0,2,2016-03-18 15:32:23.109,88
will-left,0,0,2,2016-03-18 15:32:23.617,88
will-left,0,0,2,2016-03-18 15:32:24.117,87
will-left,0,0,2,2016-03-18 15:32:24.651,88
will-left,0,0,2,2016-03-18 15:32:25.103,88
will-left,0,0,2,2016-03-18 15:32:25.617,87
will-left,0,0,2,2016-03-18 15:32:26.111,87
will-left,0,0,2,2016-03-18 15:32:26.618,88
will-left,0,0,2,2016-03-18 15:32:27.108,87
will-left,0,0,2,2016-03-18 15:32:27.632,88
will-left,0,0,2,2016-03-18 15:32:28.117,88
will-left,0,0,2,2016-03-18 15:32:28.617,88
will-left,0,0,2,2016-03-18 15:32:29.136,88
will-left,0,0,2,2016-03-18 15:32:29.617,86
will-left,0,0,2,2016-03-18 15:32:30.118,87
will-left,0,0,2,2016-03-18 15:32:30.637,87
will-left,0,0,2,2016-03-18 15:32:31.117,87
will-left,0,0,2,2016-03-18 15:32:31.611,87
will-left,0,0,2,2016-03-18 15:32:32.117,87
will-left,0,0,2,2016-03-18 15:32:32.617,87
will-left,0,0,2,2016-03-18 15:32:33.117,87
will-left,0,0,2,2016-03-18 15:32:33.617,87
will-left,0,0,2,2016-03-18 15:32:34.117,87
will-left,0,0,2,2016-03-18 15:32:34.609,85
will-left,0,0,2,2016-03-18 15:32:35.118,85
will-left,0,0,2,2016-03-18 15:32:35.649,85
will-left,0,0,2,2016-03-18 15:32:36.117,85
will-left,0,0,2,2016-03-18 15:32:36.617,86
will-left,0,0,2,2016-03-18 15:32:37.111,86
will-left,0,0,2,2016-03-18 15:32:37.618,86
will-left,0,0,2,2016-03-18 15:32:38.110,85
will-left,0,0,2,2016-03-18 15:32:38.617,86
will-left,0,0,2,2016-03-18 15:32:39.130,86
will-left,0,0,2,2016-03-18 15:32:39.656,86
will-left,0,0,2,2016-03-18 15:32:40.111,85
will-left,0,0,2,2016-03-18 15:32:40.617,85
will-left,0,0,2,2016-03-18 15:32:41.122,86
will-left,0,0,2,2016-03-18 15:32:41.617,86
will-left,0,0,2,2016-03-18 15:32:42.118,86
will-left,0,0,2,2016-03-18 15:32:42.652,85
will-left,0,0,2,2016-03-18 15:32:43.131,85
will-left,0,0,2,2016-03-18 15:32:43.635,85
will-left,0,0,2,2016-03-18 15:32:44.116,87
will-left,0,0,2,2016-03-18 15:32:44.631,86
will-left,0,0,2,2016-03-18 15:32:45.117,81
will-left,0,0,2,2016-03-18 15:32:45.617,81
will-left,0,0,2,2016-03-18 15:32:46.130,70
will-left,0,0,2,2016-03-18 15:32:46.617,81
will-left,0,0,2,2016-03-18 15:32:47.117,86
will-left,0,0,2,2016-03-18 15:32:47.632,67
will-left,0,0,2,2016-03-18 15:32:48.131,64
will-left,0,0,2,2016-03-18 15:32:48.654,79
will-left,0,0,2,2016-03-18 15:32:49.134,70
will-left,0,0,2,2016-03-18 15:32:49.616,58
will-left,0,0,2,2016-03-18 15:32:50.134,75
will-left,0,0,2,2016-03-18 15:32:50.629,86
will-left,0,0,2,2016-03-18 15:32:51.131,82
will-left,0,0,2,2016-03-18 15:32:51.631,70
will-left,0,0,2,2016-03-18 15:32:52.118,76
will-left,0,0,2,2016-03-18 15:32:52.617,74
will-left,0,0,2,2016-03-18 15:32:53.117,74
will-left,0,0,2,2016-03-18 15:32:53.617,75
will-left,0,0,2,2016-03-18 15:32:54.117,88
will-left,0,0,2,2016-03-18 15:32:54.631,87
will-left,0,0,2,2016-03-18 15:32:55.131,87
will-left,0,0,2,2016-03-18 15:32:55.628,87
will-left,0,0,2,2016-03-18 15:32:56.130,66
will-left,0,0,2,2016-03-18 15:32:56.654,63
will-left,0,0,2,2016-03-18 15:32:57.130,85
will-left,0,0,2,2016-03-18 15:32:57.617,74
will-left,0,0,2,2016-03-18 15:32:58.117,68
will-left,0,0,2,2016-03-18 15:32:58.632,90
will-left,0,0,2,2016-03-18 15:32:59.107,86
will-left,0,0,2,2016-03-18 15:32:59.630,84
will-left,0,0,2,2016-03-18 15:33:00.128,92
will-left,0,0,2,2016-03-18 15:33:00.631,85
